time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-19T16:17:44.720Z,26.6862,-111.0785,10,6.3,mww,,109,1.214,1.45,us,us2000cl83,2018-02-26T16:51:47.838Z,"78km NNE of Loreto, Mexico",earthquake,5.7,1.8,0.035,79,reviewed,us,us
2018-03-19T23:36:41.530Z,31.0899,-114.2695,10,4.8,mwr,,112,0.501,0.88,us,us1000d760,2018-04-02T02:57:51.909Z,"57km E of San Felipe, Mexico",earthquake,4.3,1.7,0.037,72,reviewed,us,us
2018-03-23T03:09:39.100Z,40.4278333,-124.5108333,25.19,4.66,mw,31,247,0.1406,0.15,nc,nc72988926,2018-03-28T10:41:33.118Z,"22km WNW of Petrolia, CA",earthquake,0.49,0.5,,4,reviewed,nc,nc
2018-01-19T16:48:28.010Z,26.6067,-111.1312,10,4.5,mb,,146,1.218,1.47,us,us2000cl8x,2018-02-18T18:21:36.040Z,"68km NNE of Loreto, Mexico",earthquake,7.4,1.9,0.058,87,reviewed,us,us
2018-01-20T13:48:54.420Z,26.6362,-111.0263,10,4.5,mb,,141,1.28,1.42,us,us2000clsy,2018-02-19T14:13:53.040Z,"75km NNE of Loreto, Mexico",earthquake,5.2,1.9,0.088,38,reviewed,us,us
2018-01-21T17:04:12.580Z,30.2302,-114.2468,10,4.5,mb,,197,0.958,1.25,us,us2000cm5c,2018-03-09T20:40:46.040Z,"103km SE of San Felipe, Mexico",earthquake,7,1.9,0.058,89,reviewed,us,us
2018-03-09T06:01:28.350Z,40.2918333,-124.5423333,15.09,4.48,mw,26,253,0.1975,0.13,nc,nc72981481,2018-03-23T12:26:38.040Z,"22km W of Petrolia, CA",earthquake,1.17,0.39,,4,reviewed,nc,nc
2018-03-22T16:24:49.560Z,40.7513333,-124.3891667,24.52,4.42,mw,34,197,0.1522,0.11,nc,nc72988726,2018-04-04T23:28:29.156Z,"17km W of Humboldt Hill, CA",earthquake,0.47,0.6,,3,reviewed,nc,nc
2018-01-26T03:32:08.570Z,42.5327,-111.3893,10,4.4,mwr,,41,0.057,0.73,us,us2000cpkg,2018-02-26T00:29:46.341Z,"22km SE of Soda Springs, Idaho",earthquake,3.3,2,0.034,82,reviewed,us,us
2018-01-26T19:54:18.110Z,26.7086,-111.0119,14.69,4.4,mb,,133,1.254,1.16,us,us2000cq0x,2018-03-01T20:58:53.040Z,"83km NNE of Loreto, Mexico",earthquake,3.2,5,0.07,58,reviewed,us,us
2018-01-04T10:39:37.730Z,37.8551667,-122.2568333,12.31,4.38,mw,289,13,0.004662,0.18,nc,nc72948801,2018-03-28T02:46:32.729Z,"2km SE of Berkeley, CA",earthquake,0.11,0.2,,7,reviewed,nc,nc
2018-02-26T04:44:54.500Z,26.1169,-92.1408,10,4.3,mb,,90,4.707,0.85,us,us2000d7y1,2018-03-14T23:01:37.580Z,"Gulf of Mexico",earthquake,5.7,1.9,0.072,55,reviewed,us,us
2018-01-18T05:55:11.950Z,38.785,-122.7433333,1.81,4.22,mw,72,41,0.005457,0.08,nc,nc72955520,2018-02-26T15:50:06.885Z,"1km NE of The Geysers, CA",earthquake,0.11,0.19,,4,reviewed,nc,nc
2018-03-04T23:17:17.400Z,36.478,-97.7411,8.103,4.2,mwr,,104,,0.4,us,us2000dc7w,2018-03-18T03:19:58.167Z,"15km NE of Enid, Oklahoma",earthquake,1.5,8.4,0.043,51,reviewed,tul,us
2018-03-05T03:40:59.200Z,36.4833,-97.7491,8.229,4.2,mwr,,104,,0.82,us,us2000dca2,2018-03-25T19:07:38.755Z,"15km NE of Enid, Oklahoma",earthquake,1.9,5.7,0.039,63,reviewed,tul,us
2018-03-19T23:56:10.690Z,31.0371,-114.233,10,4,mb,,146,0.53,0.93,us,us1000d76f,2018-03-31T03:38:25.040Z,"60km E of San Felipe, Mexico",earthquake,5.4,2,0.085,37,reviewed,us,us
2018-01-25T10:09:56.810Z,33.741,-117.4911667,11.15,3.97,mw,198,22,0.02263,0.25,ci,ci38092312,2018-04-02T03:27:33.394Z,"12km NE of Trabuco Canyon, CA",earthquake,0.11,0.22,,6,reviewed,ci,ci
2018-01-07T19:30:21.330Z,31.616,-115.8161667,13.98,3.91,ml,19,118,0.2256,0.1,ci,ci37848759,2018-03-23T23:16:54.040Z,"72km E of Maneadero, B.C., MX",earthquake,0.19,0.38,0.179,270,reviewed,ci,ci
2018-01-03T08:36:25.940Z,46.2556667,-122.0563333,10.23,3.87,ml,50,124,0.05684,0.14,uw,uw61362346,2018-03-23T23:16:49.040Z,"37km SSE of Morton, Washington",earthquake,0.24,0.42,0.156,25,reviewed,uw,uw
2018-03-06T19:46:12.700Z,36.9111,-98.328,7.743,3.8,mwr,,95,,2.02,us,us2000dd9j,2018-03-22T23:09:52.438Z,"17km N of Cherokee, Oklahoma",earthquake,2.2,4.4,0.068,21,reviewed,tul,us
2018-01-07T01:31:11.150Z,34.42,-120.0015,2.26,3.78,mw,46,74,0.1315,0.24,ci,ci37848263,2018-03-23T23:16:53.040Z,"13km W of Isla Vista, CA",earthquake,0.25,0.83,,4,reviewed,ci,ci
2018-01-14T19:56:11.650Z,34.8168333,-116.0733333,3.75,3.71,mw,81,39,0.1483,0.18,ci,ci38087400,2018-04-03T01:40:31.040Z,"13km NE of Ludlow, CA",earthquake,0.11,0.54,,4,reviewed,ci,ci
2018-02-05T08:20:51.700Z,36.0325,-97.906,6.411,3.7,mwr,,27,,0.28,us,us1000cfxn,2018-03-08T09:16:02.646Z,"8km S of Hennessey, Oklahoma",earthquake,1.2,5.3,0.047,43,reviewed,tul,us
2018-02-16T13:21:09.000Z,36.5336,-98.9685,6.904,3.7,mwr,,148,,0.44,us,us2000d36z,2018-03-24T05:28:18.017Z,"23km ENE of Mooreland, Oklahoma",earthquake,2.2,3.1,,17,reviewed,tul,slm
2018-03-01T05:10:47.800Z,35.6888,-97.3051,5.248,3.7,ml,,38,,0.26,us,us2000d9jj,2018-03-30T08:01:32.748Z,"10km WNW of Luther, Oklahoma",earthquake,0.8,2.2,,,reviewed,tul,tul
2018-03-07T18:05:00.420Z,35.4871667,-120.0265,7.99,3.69,mw,52,34,0.1744,0.27,ci,ci37889959,2018-03-12T17:22:38.294Z,"15km N of Simmler, CA",earthquake,0.28,1.52,,6,reviewed,ci,ci
2018-02-26T18:44:41.990Z,33.4825,-116.5036667,12.59,3.66,ml,141,18,0.07686,0.2,ci,ci38116288,2018-03-28T20:31:07.040Z,"18km ESE of Anza, CA",earthquake,0.11,0.21,0.13,305,reviewed,ci,ci
2018-01-16T16:57:54.810Z,36.1631667,-89.686,9.42,3.64,mw,73,36,0.04498,0.13,nm,nm60186242,2018-02-25T15:07:45.266Z,"4km SW of Caruthersville, Missouri",earthquake,0.13,0.38,,9,reviewed,nm,nm
2018-02-28T14:11:47.490Z,37.6701667,-112.5306667,11.44,3.64,ml,30,51,0.2855,0.22,uu,uu60272922,2018-03-15T09:24:05.040Z,"18km SSW of Panguitch, Utah",earthquake,0.4,0.98,0.115,19,reviewed,uu,uu
2018-01-06T15:37:17.770Z,28.8497,-98.119,5,3.6,mb_lg,,82,0.272,1.07,us,us1000c1fk,2018-03-23T23:16:52.040Z,"21km W of Karnes City, Texas",earthquake,4.1,2,0.068,56,reviewed,us,us
2018-01-07T19:29:41.270Z,46.8422,-112.7436,8.86,3.6,ml,,71,0.128,0.76,us,us1000c1sq,2018-03-23T23:16:54.040Z,"13km SSW of Lincoln, Montana",earthquake,3,8.1,0.045,64,reviewed,us,us
2018-01-13T01:04:08.100Z,35.6711,-97.4005,6.396,3.6,ml,,24,,0.51,us,us2000cj69,2018-04-03T01:40:28.040Z,"7km ENE of Edmond, Oklahoma",earthquake,1.9,7.6,,,reviewed,tul,tul
2018-01-22T10:45:33.300Z,36.153,-97.661,6.647,3.6,ml,,31,,0.18,us,us2000cmec,2018-02-27T12:08:57.149Z,"21km ENE of Hennessey, Oklahoma",earthquake,1,5.1,,,reviewed,tul,tul
