time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-01-01T12:51:23.450Z,44.5536667,-110.364,3.74,3.06,ml,21,69,0.0282,0.16,uu,uu50376240,2018-08-28T23:53:14.130Z,"54 km SSE of Mammoth, Wyoming",earthquake,0.34,0.74,,2,reviewed,uu,uu
2009-01-02T01:13:04.340Z,44.5618333,-110.374,2.82,3.08,ml,19,61,0.01889,0.17,uu,uu50376550,2018-08-28T23:53:54.830Z,"52 km SSE of Mammoth, Wyoming",earthquake,0.31,0.74,,3,reviewed,uu,uu
2009-01-02T01:21:18.300Z,44.5546667,-110.3713333,5.72,3,ml,25,59,0.02304,0.22,uu,uu50376555,2018-08-28T23:53:55.540Z,"53 km SSE of Mammoth, Wyoming",earthquake,0.41,0.75,,6,reviewed,uu,uu
2009-01-02T18:32:47.800Z,44.548,-110.3553333,7.42,3.46,ml,24,60,0.07135,0.17,uu,uu50376805,2018-08-28T23:54:28.530Z,"54 km SSE of Mammoth, Wyoming",earthquake,0.32,0.74,,10,reviewed,uu,uu
2009-01-02T19:40:52.830Z,44.5518333,-110.377,2.78,3.04,ml,22,56,0.02119,0.15,uu,uu50376885,2018-08-28T23:54:39.060Z,"53 km SSE of Mammoth, Wyoming",earthquake,0.29,0.52,,7,reviewed,uu,uu
2009-01-02T20:15:37.830Z,44.5291667,-110.3696667,4.34,3.07,ml,18,54,0.04205,0.1,uu,uu50376920,2018-08-28T23:54:43.750Z,"Wyoming",earthquake,0.22,0.53,,8,reviewed,uu,uu
2009-01-04T17:27:10.480Z,38.7823333,-122.7725,3.816,4.27,mw,80,25,0.01261,0.08,nc,nc51214595,2020-05-02T02:01:31.116Z,"6 km SW of Cobb, California",earthquake,0.11,0.19,,13,reviewed,nc,nc
2009-01-07T06:37:29.580Z,38.4553333,-119.3168333,-1.754,3.09,ml,41,126,0.1063,0.08,nc,nc51214799,2018-06-13T20:07:57.693Z,"15 km ESE of Walker, California",earthquake,0.17,4,0.174,9,reviewed,nc,nc
2009-01-09T03:49:46.270Z,34.1073333,-117.3041667,13.823,4.45,mw,132,19,,0.28,ci,ci10370141,2020-05-02T02:02:02.177Z,"3km SSW of San Bernardino, CA",earthquake,0.22,0.32,,6,reviewed,ci,ci
2009-01-09T04:47:40.290Z,34.0976667,-117.3056667,14.8,3.28,ml,104,20,0.01047,0.22,ci,ci10370177,2016-03-08T21:23:18.368Z,"3km NNE of Colton, CA",earthquake,0.22,0.29,0.161,376,reviewed,ci,ci
2009-01-09T12:43:58.320Z,32.5445,-115.2556667,10.014,3.3,ml,26,192,0.2996,0.34,ci,ci10370265,2016-03-09T03:06:37.524Z,"9km ESE of Puebla, B.C., MX",earthquake,1.24,31.61,0.143,146,reviewed,ci,ci
2009-01-09T12:44:58.680Z,32.5578333,-115.246,10.014,3.22,ml,19,189,0.2848,0.42,ci,ci12709759,2016-03-09T08:49:11.346Z,"10km E of Puebla, B.C., MX",earthquake,2.14,31.61,0.113,68,reviewed,ci,ci
2009-01-09T18:17:30.490Z,44.6773333,-110.2515,6.51,3.3,ml,28,61,0.05131,0.19,uu,uu50377405,2018-08-28T23:55:44.910Z,"42 km SSW of Silver Gate, Montana",earthquake,0.42,0.79,,10,reviewed,uu,uu
2009-01-10T09:18:11.160Z,39.0316667,-123.3413333,6.226,3.8,mw,59,60,0.1477,0.1,nc,nc51214975,2017-03-17T21:00:36.685Z,"3 km NE of Boonville, California",earthquake,0.17,0.48,,4,reviewed,nc,nc
2009-01-10T14:18:20.710Z,36.1685,-120.7353333,8.827,3.03,ml,91,62,0.06036,0.11,nc,nc51214989,2017-01-19T18:53:01.650Z,"22 km NE of San Ardo, California",earthquake,0.18,0.38,0.291,15,reviewed,nc,nc
2009-01-11T01:06:00.080Z,34.3081667,-116.9155,5.774,3.6,ml,102,26,0.04596,0.2,ci,ci10370561,2016-03-09T13:17:12.203Z,"7km N of Big Bear Lake, CA",earthquake,0.16,0.8,0.117,383,reviewed,ci,ci
2009-01-11T01:30:23.850Z,41.8313333,-123.846,37.19,3.02,md,6,113,0.02342,0.14,nc,nc71182866,2017-01-19T18:58:19.310Z,"10 km E of Gasquet, California",earthquake,0.79,0.86,0.127,58,reviewed,nc,nc
2009-01-12T20:41:06.340Z,35.98,-117.2996667,4.979,3.4,ml,29,79,0.08985,0.22,ci,ci10370809,2017-06-19T18:04:31.006Z,"25km NNE of Trona, CA",earthquake,0.42,31.61,0.142,64,reviewed,ci,ci
2009-01-14T05:08:21.570Z,36.7408333,-121.3373333,8.852,3.42,ml,84,64,0.05856,0.08,nc,nc40230105,2017-01-19T19:21:03.850Z,"5 km SSW of Tres Pinos, California",earthquake,0.11,0.24,0.213,67,reviewed,nc,nc
2009-01-15T14:43:53.370Z,36.6853333,-121.316,5.67,3.34,ml,79,49,0.03914,0.07,nc,nc40230187,2021-02-18T19:32:06.593Z,"12km S of Tres Pinos, CA",earthquake,0.12,0.37,0.163,6,reviewed,nc,nc
2009-01-15T14:44:07.740Z,36.6846667,-121.3228333,4.78,3.7,mw,19,94,0.06222,0.04,nc,nc71011822,2021-02-23T18:28:22.440Z,"12km S of Tres Pinos, CA",earthquake,0.19,0.71,,4,reviewed,nc,nc
2009-01-15T19:10:02.550Z,40.958,-106.92,5,3.2,ml,15,66.5,,1.44,us,usp000gsn2,2014-11-07T01:38:12.237Z,"29 km SSW of Encampment, Wyoming",earthquake,,,,,reviewed,us,us
2009-01-16T04:15:35.650Z,43.222,-110.87,5,4,mwr,89,28.3,,1.06,us,usp000gsnt,2015-03-24T01:39:16.944Z,"9 km SW of Hoback, Wyoming",earthquake,,,,,reviewed,us,us
2009-01-16T13:49:39.300Z,32.1033333,-115.7708333,16.117,3.32,ml,19,262,0.5457,0.34,ci,ci10371621,2016-03-09T05:56:08.124Z,"56km SSW of Progreso, B.C., MX",earthquake,1.24,31.61,0.232,144,reviewed,ci,ci
2009-01-18T22:27:55.580Z,40.963,-123.5376667,26.63,3.01,ml,30,72,0.1721,0.16,nc,nc51215473,2017-01-19T19:58:17.260Z,"8 km ENE of Willow Creek, California",earthquake,0.32,1.19,0.173,15,reviewed,nc,nc
2009-01-19T05:48:39.810Z,32.4415,-117.7185,5.846,3.08,ml,11,233,0.5624,0.45,ci,ci10372097,2016-03-09T10:13:14.015Z,"57km WSW of Coronado, CA",earthquake,2.02,31.61,0.144,76,reviewed,ci,ci
2009-01-19T13:40:08.684Z,37.4912,-114.539,6.3,3.4,ml,6,241.06,0.415,0.0873,nn,nn00272538,2018-06-13T20:08:29.033Z,"13 km S of Caliente, Nevada",earthquake,,9.5,0.15,3,reviewed,nn,nn
2009-01-20T06:06:00.470Z,36.6956667,-121.3273333,6.044,3.9,mw,81,38,0.05225,0.09,nc,nc51215555,2017-03-17T21:01:14.884Z,"10 km S of Tres Pinos, California",earthquake,0.13,0.36,,4,reviewed,nc,nc
2009-01-20T08:14:42.500Z,36.6963333,-121.3278333,4.674,3.8,mw,82,37,0.05315,0.09,nc,nc51215567,2017-03-17T21:01:43.337Z,"10 km S of Tres Pinos, California",earthquake,0.12,0.38,,4,reviewed,nc,nc
2009-01-20T08:57:23.480Z,36.6986667,-121.33,4.194,3.49,mw,81,34,0.05586,0.08,nc,nc51215571,2017-01-19T20:11:48.820Z,"10 km S of Tres Pinos, California",earthquake,0.12,0.35,,3,reviewed,nc,nc
2009-01-20T09:12:26.870Z,36.691,-121.3215,5.021,3.8,mw,82,43,0.04595,0.08,nc,nc51215576,2017-03-17T21:02:22.883Z,"10 km S of Tres Pinos, California",earthquake,0.12,0.38,,4,reviewed,nc,nc
2009-01-21T20:49:42.510Z,36.6978333,-121.3306667,6.314,3.5,mw,82,34,0.05586,0.08,nc,nc51215680,2017-03-17T21:03:02.464Z,"10 km S of Tres Pinos, California",earthquake,0.12,0.35,,3,reviewed,nc,nc
2009-01-22T20:46:58.300Z,34.2001667,-118.5576667,18.051,3.06,ml,94,26,,0.33,ci,ci10372885,2016-03-09T17:02:01.594Z,"2km W of Reseda, CA",earthquake,0.27,0.56,0.127,330,reviewed,ci,ci
2009-01-23T17:44:43.090Z,32.119,-115.7533333,11.907,3.59,ml,16,260,0.5293,0.25,ci,ci10373025,2016-03-08T21:24:10.076Z,"54km SSW of Progreso, B.C., MX",earthquake,1.32,1.45,0.191,167,reviewed,ci,ci
2009-01-24T03:42:44.050Z,33.979,-118.4611667,11.139,3.3,ml,101,48,0.02581,0.35,ci,ci10373093,2016-03-08T21:24:12.350Z,"1km W of Marina del Rey, CA",earthquake,0.28,0.48,0.179,341,reviewed,ci,ci
2009-01-24T05:19:05.960Z,32.0958333,-115.711,11.707,3.58,ml,21,263,0.5521,0.43,ci,ci10373105,2016-03-09T13:18:05.982Z,"53km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,1.57,2.28,0.328,67,reviewed,ci,ci
2009-01-24T07:58:38.990Z,32.0598333,-115.7963333,5.787,3.62,ml,16,266,0.5908,0.34,ci,ci10373113,2016-03-09T00:17:17.072Z,"61km SSW of Progreso, B.C., MX",earthquake,1.54,31.61,0.257,172,reviewed,ci,ci
2009-01-24T18:08:40.550Z,35.9896667,-117.2958333,-0.613,3.12,ml,33,54,0.09903,0.27,ci,ci10373189,2017-06-19T18:05:07.010Z,"26km NNE of Trona, CA",earthquake,0.4,1.01,0.11,173,reviewed,ci,ci
2009-01-24T20:40:20.540Z,32.0675,-115.7745,5.787,3.04,ml,14,276,0.5816,0.27,ci,ci10373229,2016-03-08T22:51:37.636Z,"60km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,1.62,31.61,0.175,57,reviewed,ci,ci
2009-01-27T05:42:00.590Z,41.0278333,-123.4256667,34.203,3.09,md,37,41,0.2523,0.14,nc,nc40230889,2017-01-19T21:04:51.260Z,"19 km NNE of Trinity Village, California",earthquake,0.3,0.57,0.209,36,reviewed,nc,nc
2009-01-27T10:12:48.700Z,32.469,-115.3123333,6.006,3.02,ml,31,205,0.354,0.49,ci,ci10373629,2016-03-09T01:43:20.097Z,"11km SSE of Puebla, B.C., MX",earthquake,1.59,31.61,0.179,95,reviewed,ci,ci
2009-01-27T11:20:12.690Z,36.7733333,-84.1311667,26.08,3.2,md,17,131,0.3644,0.15,se,se607117,2016-04-08T16:27:50.660Z,"4 km NE of Williamsburg, Kentucky",earthquake,0.9,0.8,0.147,7,reviewed,se,se
2009-01-27T13:19:14.947Z,39.0593,-115.4367,8,3.5,ml,5,157.99,0.72,0.3537,nn,nn00273664,2018-06-13T20:08:53.616Z,"36 km WNW of Preston, Nevada",earthquake,,0,0.05,2,reviewed,nn,nn
2009-01-28T06:36:39.490Z,32.063,-115.7833333,5.787,3.54,ml,19,266,0.5866,0.26,ci,ci10373809,2016-03-09T13:18:09.555Z,"60km SSW of Progreso, B.C., MX",earthquake,1.01,31.61,0.225,99,reviewed,ci,ci
2009-01-28T11:19:09.470Z,35.163,-97.871,5,3.4,mblg,15,79.3,,1.14,us,usp000gt6w,2017-06-26T21:14:09.757Z,"0 km ENE of Amber, Oklahoma",earthquake,,,,,reviewed,us,us
2009-01-28T17:00:23.980Z,32.0911667,-115.861,6.457,3.09,ml,14,262,0.557,0.3,ci,ci10373905,2016-03-09T13:18:13.942Z,"60km SSW of Progreso, B.C., MX",earthquake,1.3,31.61,0.23,104,reviewed,ci,ci
2009-01-29T01:48:01.110Z,32.0776667,-115.7366667,5.787,3.43,ml,15,265,0.5701,0.3,ci,ci10373985,2016-03-09T08:50:06.145Z,"56km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,1.67,31.61,0.195,63,reviewed,ci,ci
2009-01-29T08:41:59.120Z,32.6931667,-118.2265,9.693,4.19,ml,13,238,0.3931,0.58,ci,ci10374021,2020-05-02T02:02:25.375Z,"18km SE of San Clemente Is. (SE tip), CA",earthquake,2.06,31.61,0.157,368,reviewed,ci,ci
2009-01-29T19:20:02.440Z,32.7301667,-118.2258333,9.693,3.06,ml,9,227,0.3675,0.23,ci,ci10374081,2016-03-08T19:44:43.770Z,"15km SE of San Clemente Is. (SE tip), CA",earthquake,1.47,31.61,0.138,137,reviewed,ci,ci
2009-01-30T13:25:03.760Z,47.7865,-122.5846667,62.24,4.67,ml,77,27,0.0526,0.52,uw,uw10763723,2017-04-04T16:48:38.483Z,"6 km ESE of Lofall, Washington",earthquake,0.83,0.99,0.188,144,reviewed,uw,uw
2009-01-31T08:22:29.024Z,39.9242,-117.8555,0,3.2,ml,3,153.49,0.404,0.0502,nn,nn00274258,2018-06-13T20:09:03.621Z,"59 km ESE of Lovelock, Nevada",earthquake,,0,0,1,reviewed,nn,nn
2009-01-31T10:06:59.750Z,37.5298333,-118.8225,5.425,3.19,md,48,60,0.06036,0.06,nc,nc40231074,2017-01-19T21:28:01.260Z,"10 km WSW of Aspen Springs, California",earthquake,0.21,0.51,0.124,73,reviewed,nc,nc
2009-01-31T13:43:37.730Z,42.3388333,-111.1813333,6.73,3.11,ml,24,50,0.3313,0.26,uu,uu50378310,2018-08-28T23:57:40.390Z,"9 km E of Montpelier, Idaho",earthquake,0.46,3.86,,10,reviewed,uu,uu
2009-01-31T21:09:22.590Z,35.4135,-117.7858333,7.42,4.39,ml,56,35,0.1073,0.19,ci,ci14418600,2020-05-02T02:02:47.434Z,"14km WNW of Johannesburg, CA",earthquake,0.23,1.3,0.167,388,reviewed,ci,ci
2009-02-03T10:23:10.010Z,34.589,-96.34,5,3.1,mblg,16,77.8,,1.27,us,usp000gtdu,2017-06-26T21:13:46.381Z,"2 km SSE of Centrahoma, Oklahoma",earthquake,,,,,reviewed,us,us
2009-02-03T23:27:10.330Z,36.992,-104.884,5,3,mblg,17,79.1,,1.22,us,usp000gtej,2014-11-07T01:38:19.972Z,"15 km SSW of Weston, Colorado",earthquake,,,,,reviewed,us,us
2009-02-04T17:14:21.540Z,40.3703333,-124.9988333,9.407,3.25,ml,63,235,0.5153,0.23,nc,nc40231327,2017-01-19T21:58:02.020Z,"66 km WSW of Ferndale, California",earthquake,0.97,31.61,0.24,10,reviewed,nc,nc
