time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-01T01:42:35.140Z,32.9788333,-115.546,13.61,3.11,ml,47,76,0.0665,0.27,ci,ci37776080,2017-03-27T23:53:16.040Z,"2km W of Brawley, CA",earthquake,0.24,0.54,0.13,224,reviewed,ci,ci
2017-01-01T02:50:06.790Z,32.9776667,-115.5455,11.34,3.13,ml,46,76,0.06773,0.24,ci,ci37776336,2017-03-27T23:53:16.040Z,"1km W of Brawley, CA",earthquake,0.22,0.47,0.175,214,reviewed,ci,ci
2017-01-01T06:43:01.400Z,36.2856,-97.5017,4.179,3,ml,,58,,0.61,us,us10007p1y,2017-03-27T23:53:16.040Z,"4 km WNW of Lucien, Oklahoma",earthquake,0.7,7.8,,,reviewed,tul,tul
2017-01-01T09:36:29.123Z,38.389,-118.9152,7.9,3,ml,34,55.09,0.036,0.2113,nn,nn00571865,2018-07-02T18:17:49.154Z,"29 km WSW of Hawthorne, Nevada",earthquake,,1,0.32,19,reviewed,nn,nn
2017-01-02T02:11:09.960Z,38.7012,-118.4766,10.1,3.8,ml,39,63.97,0.082,0.1942,nn,nn00571967,2018-07-02T18:18:22.189Z,"23 km NNE of Hawthorne, Nevada",earthquake,,1,0.25,19,reviewed,nn,nn
2017-01-02T13:05:08.707Z,38.3889,-118.9285,7.8,3.6,ml,39,54.45,0.042,0.1549,nn,nn00572034,2018-07-02T18:18:29.654Z,"30 km ENE of Bridgeport, California",earthquake,,0.8,0.32,24,reviewed,nn,nn
2017-01-02T15:25:35.000Z,36.3968,-96.8859,4.152,3.3,ml,,41,,0.57,us,us10007p9h,2017-03-27T23:53:18.040Z,"9 km NW of Pawnee, Oklahoma",earthquake,1.7,3.5,,,reviewed,tul,tul
2017-01-02T15:28:40.100Z,36.3961,-96.8858,4.241,3.4,ml,,41,,0.49,us,us10007p9i,2017-03-27T23:53:19.040Z,"9 km NW of Pawnee, Oklahoma",earthquake,1.7,1.3,,,reviewed,tul,tul
2017-01-02T19:44:23.000Z,36.4199,-96.9186,3.044,3.5,ml,,22,,0.31,us,us10007pbb,2017-03-27T23:53:19.040Z,"13 km NW of Pawnee, Oklahoma",earthquake,1.4,7.9,,,reviewed,tul,tul
2017-01-04T06:48:42.820Z,33.0683333,-116.0645,13.73,3.03,ml,87,34,0.198,0.23,ci,ci37780256,2017-03-27T23:53:22.040Z,"10km SE of Ocotillo Wells, CA",earthquake,0.15,0.66,0.134,170,reviewed,ci,ci
